averating,brand,dimension,frcolor,img,interface,keycap,led,logilayout,model,name,nreviews,physlayout,price,rollover,size,sku,switch,weight 
4.5,KBDFans,"12.30"" x 4.00"" x 1.70""",Black,https://mechanicalkeyboards.com/shop/images/products/large_SW000_main.jpg,Mini USB,Alphas: Beige Dye Sub PBT with Black legends,n/a,ANSI,TADA68,KBDFans TADA68 Dye Sub PBT Mechanical Keyboard,2,US QWERTY,$99.00,Full,Other,GSW0002,Gateron Red,1.41 lbs
4.5,KBDFans,"12.30"" x 4.00"" x 1.70""",Black,https://mechanicalkeyboards.com/shop/images/products/large_SW000_main.jpg,Mini USB,Alphas: Beige Dye Sub PBT with Black legends,n/a,ANSI,TADA68,KBDFans TADA68 Dye Sub PBT Mechanical Keyboard,2,US QWERTY,$99.00,Full,Other,GSW0003,Gateron Blue,1.41 lbs
4.5,KBDFans,"12.30"" x 4.00"" x 1.70""",Black,https://mechanicalkeyboards.com/shop/images/products/large_SW000_main.jpg,Mini USB,Alphas: Beige Dye Sub PBT with Black legends,n/a,ANSI,TADA68,KBDFans TADA68 Dye Sub PBT Mechanical Keyboard,2,US QWERTY,$99.00,Full,Other,GSW0004,Gateron Brown,1.41 lbs
4.5,KBDFans,"12.30"" x 4.00"" x 1.70""",Black,https://mechanicalkeyboards.com/shop/images/products/large_SW000_main.jpg,Mini USB,Alphas: Beige Dye Sub PBT with Black legends,n/a,ANSI,TADA68,KBDFans TADA68 Dye Sub PBT Mechanical Keyboard,2,US QWERTY,$115.00,Full,Other,CSW0001,Cherry MX Red,1.41 lbs
4.5,KBDFans,"12.30"" x 4.00"" x 1.70""",Black,https://mechanicalkeyboards.com/shop/images/products/large_SW000_main.jpg,Mini USB,Alphas: Beige Dye Sub PBT with Black legends,n/a,ANSI,TADA68,KBDFans TADA68 Dye Sub PBT Mechanical Keyboard,2,US QWERTY,$115.00,Full,Other,CSW0002,Cherry MX Blue,1.41 lbs
4.5,KBDFans,"12.30"" x 4.00"" x 1.70""",Black,https://mechanicalkeyboards.com/shop/images/products/large_SW000_main.jpg,Mini USB,Alphas: Beige Dye Sub PBT with Black legends,n/a,ANSI,TADA68,KBDFans TADA68 Dye Sub PBT Mechanical Keyboard,2,US QWERTY,$115.00,Full,Other,CSW0003,Cherry MX Brown,1.41 lbs
5.0,Ducky,"14.00"" x 5.00"" x 2.00""",White,https://mechanicalkeyboards.com/shop/images/products/large_1764_tklwg1.jpg,USB,Primary: White Dye Sub PBT with Green legends,n/a,ANSI,One,Ducky One White Case Green Legends TKL Dye Sub PBT Mechanical Keyboard,2,US QWERTY,$105.00,Full,Tenkeyless,DKON1687-BUSPHWWB1,Cherry MX Brown,3.00 lbs
5.0,Ducky,"14.00"" x 5.00"" x 2.00""",White,https://mechanicalkeyboards.com/shop/images/products/large_1764_tklwg1.jpg,USB,Primary: White Dye Sub PBT with Green legends,n/a,ANSI,One,Ducky One White Case Green Legends TKL Dye Sub PBT Mechanical Keyboard,2,US QWERTY,$105.00,Full,Tenkeyless,DKON1687-CUSPHWWB1,Cherry MX Blue,3.00 lbs
,Ducky,"17.32"" x 5.51"" x 1.61""",White,https://mechanicalkeyboards.com/shop/images/products/large_2626_RainbowFS_1.jpg,USB,Primary: White Dye Sub PBT with Multi legends,n/a,ANSI,One Rainbow,Ducky One Rainbow Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$109.00,Full,Full Size,DKON1608-BUSPHWWB9,Cherry MX Brown,2.87 lbs
,Ducky,"17.32"" x 5.51"" x 1.61""",White,https://mechanicalkeyboards.com/shop/images/products/large_2626_RainbowFS_1.jpg,USB,Primary: White Dye Sub PBT with Multi legends,n/a,ANSI,One Rainbow,Ducky One Rainbow Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$109.00,Full,Full Size,DKON1608-CUSPHWWB9,Cherry MX Blue,2.87 lbs
,Ducky,"17.32"" x 5.51"" x 1.61""",White,https://mechanicalkeyboards.com/shop/images/products/large_2626_RainbowFS_1.jpg,USB,Primary: White Dye Sub PBT with Multi legends,n/a,ANSI,One Rainbow,Ducky One Rainbow Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$109.00,Full,Full Size,DKON1608-RUSPHWWB9,Cherry MX Red,2.87 lbs
,Ducky,"17.32"" x 5.51"" x 1.61""",White,https://mechanicalkeyboards.com/shop/images/products/large_2626_RainbowFS_1.jpg,USB,Primary: White Dye Sub PBT with Multi legends,n/a,ANSI,One Rainbow,Ducky One Rainbow Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$109.00,Full,Full Size,DKON1608-WUSPHWWB9,Cherry MX Clear,2.87 lbs
,Ducky,"17.32"" x 5.51"" x 1.61""",White,https://mechanicalkeyboards.com/shop/images/products/large_2626_RainbowFS_1.jpg,USB,Primary: White Dye Sub PBT with Multi legends,n/a,ANSI,One Rainbow,Ducky One Rainbow Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$114.00,Full,Full Size,DKON1608-PUSPHWWB9,Cherry MX Silver,2.87 lbs
5.0,KBParadise,"11.42"" x 3.94"" x 1.68""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2517_V60_1.jpg,USB,Primary: Black Laser Etched ABS with White legends,n/a,ANSI,V60 Type R,KBParadise V60 Type R 60% Mechanical Keyboard,1,US QWERTY,$99.00,Full,60%,KBP-V60R-B,Cherry MX Brown,1.25 lbs
5.0,KBParadise,"11.42"" x 3.94"" x 1.68""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2517_V60_1.jpg,USB,Primary: Black Laser Etched ABS with White legends,n/a,ANSI,V60 Type R,KBParadise V60 Type R 60% Mechanical Keyboard,1,US QWERTY,$99.00,Full,60%,KBP-V60R-C,Cherry MX Blue,1.25 lbs
5.0,KBParadise,"11.42"" x 3.94"" x 1.68""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2517_V60_1.jpg,USB,Primary: Black Laser Etched ABS with White legends,n/a,ANSI,V60 Type R,KBParadise V60 Type R 60% Mechanical Keyboard,1,US QWERTY,$105.00,Full,60%,KBP-V60R-G,Cherry MX Green,1.25 lbs
5.0,KBParadise,"11.42"" x 3.94"" x 1.68""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2517_V60_1.jpg,USB,Primary: Black Laser Etched ABS with White legends,n/a,ANSI,V60 Type R,KBParadise V60 Type R 60% Mechanical Keyboard,1,US QWERTY,$105.00,Full,60%,KBP-V60R-GT,Cherry MX Tactile Grey,1.25 lbs
5.0,KBParadise,"11.42"" x 3.94"" x 1.68""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2517_V60_1.jpg,USB,Primary: Black Laser Etched ABS with White legends,n/a,ANSI,V60 Type R,KBParadise V60 Type R 60% Mechanical Keyboard,1,US QWERTY,$105.00,Full,60%,KBP-V60R-GL,Cherry MX Linear Grey,1.25 lbs
5.0,KBParadise,"11.42"" x 3.94"" x 1.68""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2517_V60_1.jpg,USB,Primary: Black Laser Etched ABS with White legends,n/a,ANSI,V60 Type R,KBParadise V60 Type R 60% Mechanical Keyboard,1,US QWERTY,$105.00,Full,60%,KBP-V60R-W,Cherry MX Clear,1.25 lbs
5.0,Tex,"11.42"" x 4.72"" x 1.22""",Gray,https://mechanicalkeyboards.com/shop/images/products/large_3099_Yoda2_7.jpg,USB-C,Primary: Black Laser Etched ABS with Backlit (clear) legends,n/a,ANSI,Yoda II,Tex Yoda II 60% Mechanical Keyboard,1,US QWERTY,$281.00,Full,60%,TKB64-Y2SN,Cherry MX Silver,2.05 lbs
5.0,Tex,"11.42"" x 4.72"" x 1.22""",Gray,https://mechanicalkeyboards.com/shop/images/products/large_3099_Yoda2_7.jpg,USB-C,Primary: Black Laser Etched ABS with Backlit (clear) legends,n/a,ANSI,Yoda II,Tex Yoda II 60% Mechanical Keyboard,1,US QWERTY,$289.00,Full,60%,TKB64-Y2AN,Cherry MX Black,2.05 lbs
5.0,Tex,"11.42"" x 4.72"" x 1.22""",Gray,https://mechanicalkeyboards.com/shop/images/products/large_3099_Yoda2_7.jpg,USB-C,Primary: Black Laser Etched ABS with Backlit (clear) legends,n/a,ANSI,Yoda II,Tex Yoda II 60% Mechanical Keyboard,1,US QWERTY,$289.00,Full,60%,TKB64-Y2BN,Cherry MX Brown,2.05 lbs
5.0,Tex,"11.42"" x 4.72"" x 1.22""",Gray,https://mechanicalkeyboards.com/shop/images/products/large_3099_Yoda2_7.jpg,USB-C,Primary: Black Laser Etched ABS with Backlit (clear) legends,n/a,ANSI,Yoda II,Tex Yoda II 60% Mechanical Keyboard,1,US QWERTY,$289.00,Full,60%,TKB64-Y2CN,Cherry MX Blue,2.05 lbs
5.0,Tex,"11.42"" x 4.72"" x 1.22""",Gray,https://mechanicalkeyboards.com/shop/images/products/large_3099_Yoda2_7.jpg,USB-C,Primary: Black Laser Etched ABS with Backlit (clear) legends,n/a,ANSI,Yoda II,Tex Yoda II 60% Mechanical Keyboard,1,US QWERTY,$289.00,Full,60%,TKB64-Y2RN,Cherry MX Red,2.05 lbs
5.0,Tex,"11.42"" x 4.72"" x 1.22""",Gray,https://mechanicalkeyboards.com/shop/images/products/large_3099_Yoda2_7.jpg,USB-C,Primary: Black Laser Etched ABS with Backlit (clear) legends,n/a,ANSI,Yoda II,Tex Yoda II 60% Mechanical Keyboard,1,US QWERTY,$299.00,Full,60%,TKB64-Y2WN,Cherry MX Clear,2.05 lbs
5.0,Tex,"11.42"" x 4.72"" x 1.22""",Gray,https://mechanicalkeyboards.com/shop/images/products/large_3099_Yoda2_7.jpg,USB-C,Primary: Black Laser Etched ABS with Backlit (clear) legends,n/a,ANSI,Yoda II,Tex Yoda II 60% Mechanical Keyboard,1,US QWERTY,$299.00,Full,60%,TKB64-Y2GN,Cherry MX Green,2.05 lbs
4.0,KBParadise,"11.40"" x 3.90"" x 1.70""",Black,https://mechanicalkeyboards.com/shop/images/products/large_1476_V60FP_Front_Printed_(7).jpg,USB,Primary: Black Pad Printed ABS with White legends,n/a,ANSI,V60,KBParadise V60 Front Print 60% Mechanical Keyboard,1,US QWERTY,$109.00,6,60%,KBP-V60-MTSQL-FP,Matias Linear,1.20 lbs
,Varmilo,"14.00"" x 5.12"" x 1.35""",Black,https://mechanicalkeyboards.com/shop/images/products/large_VA87ML2WLLPaNDu_main.jpg,USB,Primary: White Dye Sub PBT with Green legends,White,ANSI,VA87M,Varmilo VA87M Panda White LED  TKL Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$159.00,Full,Tenkeyless,VA87MN2W/LLPaNDv,Cherry MX Brown,2.41 lbs
,Varmilo,"14.00"" x 5.12"" x 1.35""",Black,https://mechanicalkeyboards.com/shop/images/products/large_VA87ML2WLLPaNDu_main.jpg,USB,Primary: White Dye Sub PBT with Green legends,White,ANSI,VA87M,Varmilo VA87M Panda White LED  TKL Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$159.00,Full,Tenkeyless,VA87MC2W/LLPaNDu,Cherry MX Blue,2.41 lbs
,Varmilo,"14.00"" x 5.12"" x 1.35""",Black,https://mechanicalkeyboards.com/shop/images/products/large_VA87ML2WLLPaNDu_main.jpg,USB,Primary: White Dye Sub PBT with Green legends,White,ANSI,VA87M,Varmilo VA87M Panda White LED  TKL Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$164.00,Full,Tenkeyless,VA87MR2W/LLPaNDv,Cherry MX Red,2.41 lbs
,Varmilo,"14.00"" x 5.12"" x 1.35""",Black,https://mechanicalkeyboards.com/shop/images/products/large_VA87ML2WLLPaNDu_main.jpg,USB,Primary: White Dye Sub PBT with Green legends,White,ANSI,VA87M,Varmilo VA87M Panda White LED  TKL Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$168.00,Full,Tenkeyless,VA87MW2W/LLPaNDv,Cherry MX Clear,2.41 lbs
,Varmilo,"14.00"" x 5.12"" x 1.35""",Black,https://mechanicalkeyboards.com/shop/images/products/large_VA87ML2WLLPaNDu_main.jpg,USB,Primary: White Dye Sub PBT with Green legends,White,ANSI,VA87M,Varmilo VA87M Panda White LED  TKL Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$168.00,Full,Tenkeyless,VA87MS2W/LLPaNDv,Cherry MX Silver,2.41 lbs
,Varmilo,"14.00"" x 5.12"" x 1.35""",Black,https://mechanicalkeyboards.com/shop/images/products/large_VA87ML2WLLPaNDu_main.jpg,USB,Primary: White Dye Sub PBT with Green legends,White,ANSI,VA87M,Varmilo VA87M Panda White LED  TKL Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$175.00,Full,Tenkeyless,VA87MH2W/LLPaNDv,Cherry MX Silent Black,2.41 lbs
,Varmilo,"14.00"" x 5.12"" x 1.35""",Black,https://mechanicalkeyboards.com/shop/images/products/large_VA87ML2WLLPaNDu_main.jpg,USB,Primary: White Dye Sub PBT with Green legends,White,ANSI,VA87M,Varmilo VA87M Panda White LED  TKL Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$175.00,Full,Tenkeyless,VA87MP2W/LLPaNDv,Cherry MX Silent Red,2.41 lbs
,Varmilo,"13.30"" x 4.00"" x 2.00""",Silver,https://mechanicalkeyboards.com/shop/images/products/large_2298_VA68Mg_Silver.jpg,USB,Primary: Multi Dye Sub PBT with Black legends,RGB,ANSI,VA68M,Varmilo VA68M Magnesium Case RGB LED  60% Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$229.00,Full,60%,VA68Mg_S_R,Cherry MX Red,2.30 lbs
,Varmilo,"13.30"" x 4.00"" x 2.00""",Silver,https://mechanicalkeyboards.com/shop/images/products/large_2298_VA68Mg_Silver.jpg,USB,Primary: Multi Dye Sub PBT with Black legends,RGB,ANSI,VA68M,Varmilo VA68M Magnesium Case RGB LED  60% Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$229.00,Full,60%,VA68Mg_S_S,Cherry MX Silent Red,2.30 lbs
5.0,Ducky,"17.32"" x 5.31"" x 1.58""",White,https://mechanicalkeyboards.com/shop/images/products/large_DKON1808S-AUSPDWZW1_main.jpg,USB-C,Primary: White Double Shot PBT with Backlit (clear) legends,White,ANSI,One 2,Ducky One 2 White Case White LED Double Shot PBT Mechanical Keyboard,1,US QWERTY,$109.00,Full,Full Size,DKON1808S-BUSPDWZW1,Cherry MX Brown,2.43 lbs
5.0,Ducky,"17.32"" x 5.31"" x 1.58""",White,https://mechanicalkeyboards.com/shop/images/products/large_DKON1808S-AUSPDWZW1_main.jpg,USB-C,Primary: White Double Shot PBT with Backlit (clear) legends,White,ANSI,One 2,Ducky One 2 White Case White LED Double Shot PBT Mechanical Keyboard,1,US QWERTY,$109.00,Full,Full Size,DKON1808S-CUSPDWZW1,Cherry MX Blue,2.43 lbs
5.0,Ducky,"17.32"" x 5.31"" x 1.58""",White,https://mechanicalkeyboards.com/shop/images/products/large_DKON1808S-AUSPDWZW1_main.jpg,USB-C,Primary: White Double Shot PBT with Backlit (clear) legends,White,ANSI,One 2,Ducky One 2 White Case White LED Double Shot PBT Mechanical Keyboard,1,US QWERTY,$109.00,Full,Full Size,DKON1808S-RUSPDWZW1,Cherry MX Red,2.43 lbs
5.0,Ducky,"17.32"" x 5.31"" x 1.58""",White,https://mechanicalkeyboards.com/shop/images/products/large_DKON1808S-AUSPDWZW1_main.jpg,USB-C,Primary: White Double Shot PBT with Backlit (clear) legends,White,ANSI,One 2,Ducky One 2 White Case White LED Double Shot PBT Mechanical Keyboard,1,US QWERTY,$109.00,Full,Full Size,DKON1808S-PUSPDWZW1,Cherry MX Silver,2.43 lbs
5.0,Leopold,"17.32"" x 5.51"" x 1.29""",White,https://mechanicalkeyboards.com/shop/images/products/large_FC900RLEWGPD_main.jpg,USB,Primary: Multi Double Shot PBT with Multi legends,n/a,ANSI,FC900R,Leopold FC900R White/Green PD Double Shot PBT Mechanical Keyboard,3,US QWERTY,$124.00,Full,Full Size,FC900RN/EWGPD,Cherry MX Brown,2.65 lbs
5.0,Leopold,"17.32"" x 5.51"" x 1.29""",White,https://mechanicalkeyboards.com/shop/images/products/large_FC900RLEWGPD_main.jpg,USB,Primary: Multi Double Shot PBT with Multi legends,n/a,ANSI,FC900R,Leopold FC900R White/Green PD Double Shot PBT Mechanical Keyboard,3,US QWERTY,$124.00,Full,Full Size,FC900RC/EWGPD,Cherry MX Blue,2.65 lbs
5.0,Leopold,"17.32"" x 5.51"" x 1.29""",White,https://mechanicalkeyboards.com/shop/images/products/large_FC900RLEWGPD_main.jpg,USB,Primary: Multi Double Shot PBT with Multi legends,n/a,ANSI,FC900R,Leopold FC900R White/Green PD Double Shot PBT Mechanical Keyboard,3,US QWERTY,$124.00,Full,Full Size,FC900RR/EWGPD,Cherry MX Red,2.65 lbs
5.0,Leopold,"17.32"" x 5.51"" x 1.29""",White,https://mechanicalkeyboards.com/shop/images/products/large_FC900RLEWGPD_main.jpg,USB,Primary: Multi Double Shot PBT with Multi legends,n/a,ANSI,FC900R,Leopold FC900R White/Green PD Double Shot PBT Mechanical Keyboard,3,US QWERTY,$129.00,Full,Full Size,FC900RS/EWGPD,Cherry MX Silent Red,2.65 lbs
5.0,Leopold,"17.32"" x 5.51"" x 1.29""",White,https://mechanicalkeyboards.com/shop/images/products/large_FC900RLEWGPD_main.jpg,USB,Primary: Multi Double Shot PBT with Multi legends,n/a,ANSI,FC900R,Leopold FC900R White/Green PD Double Shot PBT Mechanical Keyboard,3,US QWERTY,$129.00,Full,Full Size,FC900RW/EWGPD,Cherry MX Clear,2.65 lbs
,Varmilo,"14.00"" x 5.12"" x 1.35""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2843_87CMYK_1.jpg,USB,Primary: Multi Dye Sub PBT with Black legends,White,ANSI,VA87M,Varmilo VA87M CMPYO White LED  TKL Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$131.00,Full,Tenkeyless,VA87MN2W/LLK12W,Cherry MX Brown,2.41 lbs
,Varmilo,"14.00"" x 5.12"" x 1.35""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2843_87CMYK_1.jpg,USB,Primary: Multi Dye Sub PBT with Black legends,White,ANSI,VA87M,Varmilo VA87M CMPYO White LED  TKL Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$131.00,Full,Tenkeyless,VA87MC2W/LLK12W,Cherry MX Blue,2.41 lbs
,Varmilo,"14.00"" x 5.12"" x 1.35""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2843_87CMYK_1.jpg,USB,Primary: Multi Dye Sub PBT with Black legends,White,ANSI,VA87M,Varmilo VA87M CMPYO White LED  TKL Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$131.00,Full,Tenkeyless,VA87MR2W/LLK12W,Cherry MX Red,2.41 lbs
,Varmilo,"14.00"" x 5.12"" x 1.35""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2843_87CMYK_1.jpg,USB,Primary: Multi Dye Sub PBT with Black legends,White,ANSI,VA87M,Varmilo VA87M CMPYO White LED  TKL Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$135.00,Full,Tenkeyless,VA87MS2W/LLK12W,Cherry MX Silver,2.41 lbs
,Varmilo,"14.00"" x 5.12"" x 1.35""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2843_87CMYK_1.jpg,USB,Primary: Multi Dye Sub PBT with Black legends,White,ANSI,VA87M,Varmilo VA87M CMPYO White LED  TKL Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$145.00,Full,Tenkeyless,VA87MP2W/LLK12W,Cherry MX Silent Red,2.41 lbs
,Ducky,"14.00"" x 5.00"" x 2.00""",Black,https://mechanicalkeyboards.com/shop/images/products/large_DKON1687-USPHZAB1_main.jpg,USB,Primary: Multi Dye Sub PBT with Black legends,n/a,ANSI,One,Ducky One Blue / Gray TKL Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$105.00,Full,Tenkeyless,DKON1687-BUSPHZAB1,Cherry MX Brown,3.00 lbs
,Ducky,"14.00"" x 5.00"" x 2.00""",Black,https://mechanicalkeyboards.com/shop/images/products/large_DKON1687-USPHZAB1_main.jpg,USB,Primary: Multi Dye Sub PBT with Black legends,n/a,ANSI,One,Ducky One Blue / Gray TKL Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$105.00,Full,Tenkeyless,DKON1687-CUSPHZAB1,Cherry MX Blue,3.00 lbs
,Ducky,"14.00"" x 5.00"" x 2.00""",Black,https://mechanicalkeyboards.com/shop/images/products/large_DKON1687-USPHZAB1_main.jpg,USB,Primary: Multi Dye Sub PBT with Black legends,n/a,ANSI,One,Ducky One Blue / Gray TKL Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$105.00,Full,Tenkeyless,DKON1687-RUSPHZAB1,Cherry MX Red,3.00 lbs
5.0,Varmilo,"14.00"" x 5.12"" x 1.35""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2844_87RGBK_1.jpg,USB,Primary: Multi Dye Sub PBT with Black legends,White,ANSI,VA87M,Varmilo VA87M RGBY White LED  TKL Dye Sub PBT Mechanical Keyboard,1,US QWERTY,$131.00,Full,Tenkeyless,VA87MN2W/LLK22W,Cherry MX Brown,2.41 lbs
5.0,Varmilo,"14.00"" x 5.12"" x 1.35""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2844_87RGBK_1.jpg,USB,Primary: Multi Dye Sub PBT with Black legends,White,ANSI,VA87M,Varmilo VA87M RGBY White LED  TKL Dye Sub PBT Mechanical Keyboard,1,US QWERTY,$131.00,Full,Tenkeyless,VA87MC2W/LLK22W,Cherry MX Blue,2.41 lbs
5.0,Varmilo,"14.00"" x 5.12"" x 1.35""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2844_87RGBK_1.jpg,USB,Primary: Multi Dye Sub PBT with Black legends,White,ANSI,VA87M,Varmilo VA87M RGBY White LED  TKL Dye Sub PBT Mechanical Keyboard,1,US QWERTY,$131.00,Full,Tenkeyless,VA87MR2W/LLK22W,Cherry MX Red,2.41 lbs
5.0,Varmilo,"14.00"" x 5.12"" x 1.35""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2844_87RGBK_1.jpg,USB,Primary: Multi Dye Sub PBT with Black legends,White,ANSI,VA87M,Varmilo VA87M RGBY White LED  TKL Dye Sub PBT Mechanical Keyboard,1,US QWERTY,$147.00,Full,Tenkeyless,VA87MP2W/LLK22W,Cherry MX Silent Red,2.41 lbs
5.0,Varmilo,"14.00"" x 5.12"" x 1.35""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2844_87RGBK_1.jpg,USB,Primary: Multi Dye Sub PBT with Black legends,White,ANSI,VA87M,Varmilo VA87M RGBY White LED  TKL Dye Sub PBT Mechanical Keyboard,1,US QWERTY,$147.00,Full,Tenkeyless,VA87MH2W/LLK22W,Cherry MX Silent Black,2.41 lbs
5.0,Varmilo,"14.00"" x 5.12"" x 1.35""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2844_87RGBK_1.jpg,USB,Primary: Multi Dye Sub PBT with Black legends,White,ANSI,VA87M,Varmilo VA87M RGBY White LED  TKL Dye Sub PBT Mechanical Keyboard,1,US QWERTY,$147.00,Full,Tenkeyless,VA87MW2W/LLK22W,Cherry MX Clear,2.41 lbs
,Ducky,"18.00"" x 5.40"" x 1.50""",Black,https://mechanicalkeyboards.com/shop/images/products/large_DKSH1808ST-USPDAAT1_main.png,USB-C,Primary: Black Double Shot PBT with Backlit (clear) legends,RGB,ANSI,Shine 7,Ducky Shine 7 Blackout - MK Exclusive First Release - RGB LED Double Shot PBT Mechanical Keyboard,0,US QWERTY,$159.00,Full,Full Size,DKSH1808ST-CUSPDAAT1,Cherry MX Blue,3.15 lbs
,Ducky,"18.00"" x 5.40"" x 1.50""",Black,https://mechanicalkeyboards.com/shop/images/products/large_DKSH1808ST-USPDAAT1_main.png,USB-C,Primary: Black Double Shot PBT with Backlit (clear) legends,RGB,ANSI,Shine 7,Ducky Shine 7 Blackout - MK Exclusive First Release - RGB LED Double Shot PBT Mechanical Keyboard,0,US QWERTY,$159.00,Full,Full Size,DKSH1808ST-RUSPDAAT1,Cherry MX Red,3.15 lbs
,Ducky,"18.00"" x 5.40"" x 1.50""",Black,https://mechanicalkeyboards.com/shop/images/products/large_DKSH1808ST-USPDAAT1_main.png,USB-C,Primary: Black Double Shot PBT with Backlit (clear) legends,RGB,ANSI,Shine 7,Ducky Shine 7 Blackout - MK Exclusive First Release - RGB LED Double Shot PBT Mechanical Keyboard,0,US QWERTY,$159.00,Full,Full Size,DKSH1808ST-PUSPDAAT1,Cherry MX Silver,3.15 lbs
5.0,Cherry,"17.56"" x 6.22"" x 1.10""",Black,https://mechanicalkeyboards.com/shop/images/products/large_655_cherry30.jpg,USB,Primary: Black Pad Printed ABS with White legends,n/a,ANSI,MX 3.0,Cherry MX 3.0 Mechanical Keyboard,4,US QWERTY,$89.00,Full,Full Size,G80-3850LYBEU-2,Cherry MX Red,1.85 lbs
5.0,Cherry,"17.56"" x 6.22"" x 1.10""",Black,https://mechanicalkeyboards.com/shop/images/products/large_655_cherry30.jpg,USB,Primary: Black Pad Printed ABS with White legends,n/a,ANSI,MX 3.0,Cherry MX 3.0 Mechanical Keyboard,4,US QWERTY,$89.00,Full,Full Size,G80-3850LXBEU-2,Cherry MX Brown,1.85 lbs
,Leopold,"14.17"" x 5.51"" x 1.29""",White,https://mechanicalkeyboards.com/shop/images/products/large_FC750RLEWGPD_main.jpg,USB,Alphas: White Double Shot PBT with Green legends,n/a,ANSI,FC750R,Leopold FC750R White/Green PD TKL Double Shot PBT Mechanical Keyboard,0,US QWERTY,$119.00,Full,Tenkeyless,FC750RL/EWGPD,Cherry MX Black,2.20 lbs
4.0,Mechanical Keyboards Inc,"14.20"" x 5.50"" x 1.70""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2017_Disco_White_Caps_1.png,USB,Primary: White Double Shot ABS with Backlit (clear) legends,RGB,ANSI,Disco,MK Disco White ABS Double Shot RGB LED TKL Mechanical Keyboard,11,US QWERTY,$99.00,Full,Tenkeyless,MK8715RGB-AUSALAWT6,KBT Black,2.70 lbs
5.0,Leopold,"12.79"" x 4.29"" x 1.26""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2966_FC660BG_1.jpg,USB,Alphas: Gray Double Shot PBT with Black legends,n/a,ANSI,FC660M,Leopold FC660M Grey/Blue PD 60% Double Shot PBT Mechanical Keyboard,1,US QWERTY,$109.00,Full,60%,FC660ML/EGBPD,Cherry MX Black,1.54 lbs
,Leopold,"14.17"" x 5.51"" x 1.29""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2900_DSC_0158.jpg,USB,Alphas: Gray Double Shot PBT with Black legends,n/a,ANSI,FC750R,Leopold FC750R Grey/Blue PD TKL Double Shot PBT Mechanical Keyboard,0,US QWERTY,$119.00,Full,Tenkeyless,FC750RL/EGBPD,Cherry MX Black,2.20 lbs
,Leopold,"14.17"" x 5.51"" x 1.29""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2900_DSC_0158.jpg,USB,Alphas: Gray Double Shot PBT with Black legends,n/a,ANSI,FC750R,Leopold FC750R Grey/Blue PD TKL Double Shot PBT Mechanical Keyboard,0,US QWERTY,$119.00,Full,Tenkeyless,FC750RN/EGBPD,Cherry MX Brown,2.20 lbs
4.4,Ducky,"17.32"" x 5.51"" x 1.61""",White,https://mechanicalkeyboards.com/shop/images/products/large_2886_RGBWhite_1.jpg,USB,Primary: White Double Shot PBT with Backlit (clear) legends,RGB,ANSI,One RGB,Ducky One White on White Fullsize RGB LED Double Shot PBT Mechanical Keyboard,7,US QWERTY,$139.00,Full,Full Size,DKON1708ST-AUSPDWWT1,Cherry MX Black,2.87 lbs
